timestamp,cpu_usage_percent
1748275440,4.57
1748275441,51.98
1748275442,100.00
1748275443,98.99
1748275444,94.87
1748275445,87.96
1748275446,91.10
1748275447,94.36
1748275449,95.36
1748275450,96.91
1748275451,93.16
1748275452,94.90
1748275453,94.33
1748275454,97.49
1748275455,100.00
1748275456,100.00
1748275457,98.99
1748275458,96.97
1748275459,96.94
1748275460,62.92
1748275461,16.03
1748275463,14.47
1748275464,25.93
1748275465,11.18
1748275466,18.06
1748275467,16.23
1748275468,28.00
1748275469,18.83
1748275470,12.99
1748275471,10.67
1748275472,8.00
1748275473,11.41
1748275474,21.05
1748275475,16.45
1748275476,13.25
1748275477,11.04
1748275478,36.88
1748275479,18.18
1748275480,12.26
1748275481,17.20
1748275482,10.46
1748275483,12.67
1748275484,16.67
1748275485,11.18
1748275486,9.40
1748275487,12.50
1748275488,23.87
1748275489,22.29
